"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"OTHERS","2023-09-26","1479.88","1479.87","1465.39","1473.86","0.85 %","35,337,752.00","-"
"OTHERS","2023-09-25","1464.42","1472.58","1451.34","1461.37","-0.22 %","17,383,806.80","-"
"OTHERS","2023-09-24","1480.48","1486.21","1461.96","1464.58","-1.07 %","46,477,853.40","-"
"OTHERS","2023-09-21","1445.41","1491.51","1445.41","1480.47","2.43 %","58,481,585.00","-"
"OTHERS","2023-09-19","1443.52","1450.45","1431.03","1445.41","0.12 %","11,487,810.50","-"
"OTHERS","2023-09-18","1436.4","1450.23","1428.62","1443.7","0.49 %","11,757,817.20","-"
"OTHERS","2023-09-17","1465.94","1476.63","1432.75","1436.66","-2.00 %","27,793,992.70","-"
"OTHERS","2023-09-13","1434.95","1470.8","1434.95","1465.93","2.16 %","31,615,105.40","-"
"OTHERS","2023-09-12","1438.41","1464.4","1428.68","1434.95","-0.24 %","23,162,112.20","-"
"OTHERS","2023-09-11","1418.7","1447.02","1418.55","1438.4","1.39 %","48,492,652.40","-"
"OTHERS","2023-09-10","1411.87","1431.74","1410.96","1418.69","0.48 %","27,310,780.50","-"
"OTHERS","2023-09-07","1441.36","1444.17","1400.94","1411.87","-2.05 %","43,334,397.30","-"
"OTHERS","2023-09-05","1444.78","1457.87","1436.29","1441.35","-0.24 %","15,504,325.90","-"
"OTHERS","2023-09-04","1438.04","1451.39","1426.44","1444.77","0.47 %","29,198,660.00","-"
"OTHERS","2023-09-03","1457.21","1460.24","1434.56","1438.04","-1.31 %","28,341,698.90","-"
"OTHERS","2023-08-30","1463.36","1469.5","1444.77","1457.2","-0.42 %","45,164,468.80","-"
"OTHERS","2023-08-29","1466.49","1479.29","1446.67","1463.35","-0.21 %","51,611,004.20","-"
"OTHERS","2023-08-28","1469.45","1482.36","1459.8","1466.48","-0.20 %","31,104,690.10","-"
"OTHERS","2023-08-27","1486.22","1502.26","1465.77","1469.44","-1.13 %","45,550,541.50","-"
"OTHERS","2023-08-24","1503.04","1517.35","1473.41","1486.22","-1.08 %","47,360,785.10","-"
"OTHERS","2023-08-23","1489.8","1512.09","1487.29","1503.04","0.90 %","30,829,751.90","-"
"OTHERS","2023-08-22","1467.93","1491.6","1464.08","1489.67","1.48 %","31,019,898.40","-"
"OTHERS","2023-08-21","1487.03","1493.06","1460.63","1467.92","-0.56 %","48,858,149.60","-"
"OTHERS","2023-08-20","1499.79","1503.59","1473.62","1476.22","-1.57 %","40,705,531.90","-"
"OTHERS","2023-08-17","1499.53","1513.88","1492.81","1499.79","0.02 %","51,676,266.40","-"
"OTHERS","2023-08-16","1518.66","1518.66","1478.04","1499.53","-1.26 %","88,133,788.30","-"
"OTHERS","2023-08-15","1532.27","1534.65","1511.24","1518.66","-0.91 %","55,216,595.70","-"
"OTHERS","2023-08-14","1542.72","1558.33","1531.25","1532.55","-0.66 %","58,247,708.80","-"
"OTHERS","2023-08-13","1523.87","1559.24","1523.87","1542.72","-0.01 %","81,187,171.60","-"
"OTHERS","2023-08-10","1516.45","1562.14","1516.45","1542.9","0.49 %","108,340,913.00","-"
"OTHERS","2023-08-09","1480.81","1548.6","1476.32","1535.36","2.97 %","123,218,751.40","-"
"OTHERS","2023-08-08","1518.23","1533.18","1490.32","1491.08","-1.77 %","71,884,003.50","-"
"OTHERS","2023-08-07","1523.77","1539.99","1514.43","1517.88","-0.37 %","119,505,416.10","-"
"OTHERS","2023-08-06","1542","1562.93","1508.95","1523.45","-1.20 %","52,936,745.60","-"
"OTHERS","2023-08-03","1533.08","1567.07","1533.07","1541.99","0.58 %","61,657,901.70","-"
"OTHERS","2023-08-02","1528.41","1540.42","1519.29","1533.07","0.31 %","34,105,685.90","-"
"OTHERS","2023-08-01","1543.6","1594.94","1513.45","1528.4","-0.98 %","69,121,198.60","-"
"OTHERS","2023-07-31","1543.52","1568.02","1533.79","1543.59","0.01 %","45,970,247.10","-"
"OTHERS","2023-07-30","1572.04","1582.53","1536.79","1543.51","-1.81 %","72,975,712.00","-"
"OTHERS","2023-07-27","1606.09","1613.42","1570.86","1572.03","-2.12 %","91,276,674.80","-"
"OTHERS","2023-07-26","1614.45","1653.96","1590.91","1606.08","0.71 %","101,041,980.50","-"
"OTHERS","2023-07-25","1642.88","1650.56","1594.77","1594.77","-1.73 %","118,556,719.70","-"
