Time,Open,High,Low,Close,Volume,Log_Return
2020-06-29,11399.5,11408.0,11398.75,11400.5,695.0,0.015246555588129596
2020-06-30,11541.0,11542.25,11532.0,11533.5,277.0,0.011598630070441374
2020-07-01,11666.5,11670.5,11665.75,11669.75,72.0,0.011744179460064785
2020-07-02,11761.0,11761.5,11754.0,11756.5,212.0,0.0074062555072522684
2020-07-03,11750.0,11751.25,11746.5,11749.75,179.0,-0.0005743153574506721
2020-07-05,11792.0,11793.75,11786.25,11787.25,356.0,0.0031864750588486146
2020-07-06,12005.75,12008.75,12005.0,12007.5,178.0,0.018513015729919147
2020-07-07,11940.25,11943.75,11939.5,11941.0,174.0,-0.005553598005594296
2020-07-08,12068.5,12071.5,12066.75,12068.5,98.0,0.010620895773270078
2020-07-09,12129.5,12131.25,12129.5,12130.75,130.0,0.005144798893159219
2020-07-10,12138.0,12144.5,12129.75,12140.75,6676.0,0.000824011747591058
2020-07-12,12293.25,12295.0,12288.5,12291.0,172.0,0.012299724267576195
2020-07-13,12044.25,12044.25,12033.25,12036.0,637.0,-0.02096512846504517
2020-07-14,12115.75,12117.0,12112.5,12116.75,214.0,0.00668663409906145
2020-07-15,12053.0,12054.5,12050.5,12053.5,348.0,-0.0052337186729634055
2020-07-16,11956.25,11957.25,11952.0,11954.0,166.0,-0.008289123791834996
2020-07-17,12010.75,12019.5,12009.0,12012.5,3751.0,0.004881823894349324
2020-07-19,12044.75,12047.5,12044.0,12045.25,114.0,0.0027226170552392404
2020-07-20,12339.0,12342.75,12337.25,12340.25,142.0,0.024195886239661846
2020-07-21,12275.75,12279.0,12273.0,12273.25,428.0,-0.005444180265699927
2020-07-22,12250.5,12252.5,12242.5,12245.25,184.0,-0.0022839906333658178
2020-07-23,11990.5,11992.25,11989.75,11991.0,134.0,-0.020981738294949537
2020-07-24,11888.5,11910.0,11871.0,11908.5,5907.0,-0.006903937546155703
2020-07-26,11850.0,11850.5,11833.5,11838.5,520.0,-0.0058954986102239815
2020-07-27,12100.25,12104.5,12098.5,12100.75,549.0,0.021910501911957425
2020-07-28,11965.5,11967.75,11965.5,11966.0,65.0,-0.011198139185035316
2020-07-29,12086.5,12089.5,12085.5,12086.25,117.0,0.009999147847780776
2020-07-30,12284.5,12284.5,12278.5,12281.5,261.0,0.016025622280826823
2020-07-31,12209.0,12213.0,12173.25,12185.75,7707.0,-0.007826828826065224
2020-08-02,12308.25,12309.75,12303.75,12309.75,80.0,0.010124395027636623
2020-08-03,12439.0,12439.0,12436.0,12438.25,28.0,0.010384770876168403
2020-08-04,12479.0,12479.25,12477.5,12479.0,74.0,0.0032708293515302245
2020-08-05,12494.75,12497.0,12493.5,12496.25,132.0,0.0013813677735363683
2020-08-06,12657.0,12658.0,12656.0,12656.5,67.0,0.0127423178988888
2020-08-07,12598.5,12600.25,12571.75,12574.0,7429.0,-0.006539727237273141
2020-08-09,12483.5,12488.5,12483.5,12486.5,264.0,-0.006983129272857269
2020-08-10,12464.5,12464.5,12459.75,12460.25,161.0,-0.0021044833245298378
2020-08-11,12325.25,12329.5,12325.25,12328.0,106.0,-0.01067047934566645
2020-08-12,12523.25,12525.75,12523.0,12525.25,43.0,0.015873508833752936
2020-08-13,12587.75,12591.25,12587.25,12591.25,74.0,0.005255521423185527
2020-08-14,12525.75,12539.0,12524.5,12539.0,2439.0,-0.004158341066352378
2020-08-16,12557.25,12557.25,12550.5,12553.0,218.0,0.0011158936276700615
2020-08-17,12692.5,12694.0,12691.25,12692.0,92.0,0.011012192884876981
2020-08-18,12809.25,12812.0,12808.5,12811.75,56.0,0.00939084487897901
2020-08-19,12724.0,12724.5,12722.25,12723.5,55.0,-0.006912041304055094
2020-08-20,12892.0,12893.75,12891.0,12892.0,80.0,0.013156286657318716
2020-08-21,12906.75,12913.0,12885.75,12891.5,4266.0,-3.878449396310657e-05
2020-08-23,12984.0,12985.5,12983.25,12984.5,53.0,0.007188158945684364
2020-08-24,13040.75,13041.0,13035.25,13035.75,179.0,0.003939244724650237
2020-08-25,13132.5,13133.0,13131.5,13132.0,85.0,0.007356416509782804
2020-08-26,13365.25,13368.0,13363.5,13366.0,191.0,0.01766216944953314
2020-08-27,13354.25,13355.5,13353.75,13354.75,50.0,-0.0008420422828496754
2020-08-28,13394.25,13404.0,13391.75,13393.25,3640.0,0.0028787218922978752
2020-08-30,13424.25,13434.0,13424.0,13428.75,587.0,0.002647082300288872
2020-08-31,13497.25,13498.25,13493.75,13494.0,238.0,0.0048472112066182405
2020-09-01,13722.0,13726.75,13722.0,13726.0,166.0,0.017046702281209747
2020-09-02,13808.5,13814.75,13808.0,13814.5,141.0,0.00642692068963413
2020-09-03,13074.0,13076.5,13028.0,13036.5,2420.0,-0.05796564961259065
2020-09-04,12871.75,12896.25,12830.5,12889.5,13526.0,-0.011340089124237451
2020-09-06,12827.75,12835.0,12817.5,12826.75,488.0,-0.004880192449460807
2020-09-07,12980.5,12984.5,12967.25,12971.5,413.0,0.011221809154912776
2020-09-08,12394.0,12430.5,12394.0,12414.25,1161.0,-0.0439096368027716
2020-09-09,12828.5,12838.75,12828.5,12836.0,11.0,0.033408716905681146
2020-09-10,12614.25,12622.25,12612.25,12621.0,82.0,-0.01689162997111815
2020-09-11,12541.0,12552.75,12512.75,12514.0,2321.0,-0.00851407570032059
2020-09-13,12585.5,12590.75,12579.5,12580.0,299.0,0.00526023369612183
2020-09-14,12706.75,12712.5,12706.75,12710.75,89.0,0.010339840842728876
2020-09-15,12864.25,12865.5,12861.25,12863.75,119.0,0.011965186053140897
2020-09-16,12694.0,12696.0,12688.75,12690.25,207.0,-0.013579296084305525
